Draw_ID,Date,N1,N2,N3,N4,N5,N6,Special
114000056,2025-07-14,3,6,19,22,37,38,4
114000057,2025-07-17,1,4,6,21,25,28,2
114000058,2025-07-21,10,18,20,24,36,38,4
114000059,2025-07-24,3,4,7,10,33,38,5
114000060,2025-07-28,12,16,18,22,24,36,5
114000061,2025-07-31,4,9,18,20,29,31,3
114000062,2025-08-04,15,16,22,27,30,32,1
114000063,2025-08-07,2,4,7,8,18,25,7
114000064,2025-08-11,3,5,9,16,18,19,2
114000065,2025-08-14,1,11,14,17,19,36,3
114000066,2025-08-18,2,5,8,17,20,26,6
114000067,2025-08-21,2,4,11,12,16,19,2
114000068,2025-08-25,1,12,14,21,36,37,3
114000069,2025-08-28,9,13,14,17,23,30,5
114000070,2025-09-01,2,7,16,18,28,29,4
114000071,2025-09-04,6,7,9,11,21,38,8
114000072,2025-09-08,7,8,14,15,25,36,6
114000073,2025-09-11,11,18,21,27,31,35,6
114000074,2025-09-15,4,16,20,33,34,38,2
114000075,2025-09-18,10,20,25,28,32,36,2
114000076,2025-09-22,10,11,14,22,31,33,2
114000077,2025-09-25,8,12,14,24,28,35,3
114000078,2025-09-29,12,16,17,20,27,36,3
114000079,2025-10-02,3,5,12,24,27,30,7
114000080,2025-10-06,5,6,9,14,15,37,5
114000081,2025-10-09,1,6,11,20,34,35,8
114000082,2025-10-13,4,6,8,18,24,28,1
114000083,2025-10-16,8,9,13,16,26,35,2
114000084,2025-10-20,8,12,19,22,24,32,5
114000085,2025-10-23,5,9,11,21,32,35,8
114000086,2025-10-27,1,11,16,20,27,36,6
114000087,2025-10-30,13,14,17,20,21,24,2
114000088,2025-11-03,4,18,20,30,32,35,4
114000089,2025-11-06,11,18,20,25,29,37,8
114000090,2025-11-10,6,12,28,29,31,32,4
114000091,2025-11-13,2,9,11,15,26,34,4
114000092,2025-11-17,17,18,19,28,34,36,6
114000093,2025-11-20,3,8,17,20,31,35,7
114000094,2025-11-24,7,9,19,20,33,34,7
114000095,2025-11-27,4,9,16,26,33,35,2
114000096,2025-12-01,5,7,8,11,32,37,2
114000097,2025-12-04,3,6,7,10,29,33,1
114000098,2025-12-08,5,14,15,20,32,37,2
114000099,2025-12-11,5,6,11,15,22,37,7
114000100,2025-12-15,19,26,28,31,32,34,6
114000101,2025-12-18,8,15,16,21,29,37,5
114000102,2025-12-22,5,16,21,25,32,34,8
114000103,2025-12-25,6,12,21,22,28,34,8
114000104,2025-12-29,1,3,9,11,18,32,6
115000001,2026-01-01,7,14,22,23,31,35,1
115000002,2026-01-05,11,14,19,25,34,37,4
115000003,2026-01-08,7,17,25,26,27,33,3
115000004,2026-01-12,1,9,14,17,33,38,3
115000005,2026-01-15,8,10,16,26,31,38,5
115000006,2026-01-19,10,16,20,23,35,37,5
115000007,2026-01-22,11,17,29,30,34,35,6
115000008,2026-01-26,3,8,12,26,32,38,4
115000009,2026-01-29,5,10,15,17,23,25,5
115000010,2026-02-02,1,12,14,15,27,29,5
115000011,2026-02-05,7,22,28,34,36,37,7
115000012,2026-02-09,13,14,16,33,34,37,2
115000013,2026-02-12,6,10,22,25,32,35,3
115000014,2026-02-16,2,6,19,33,36,38,3
115000015,2026-02-19,2,3,6,12,23,27,4
115000016,2026-02-23,4,10,13,24,31,35,2
115000017,2026-02-26,3,19,27,30,37,38,2
115000018,2026-03-02,7,9,11,23,25,29,5
115000019,2026-03-05,7,11,14,32,36,38,2
115000020,2026-03-09,1,11,14,17,29,32,8
115000021,2026-03-12,4,9,15,25,27,31,8
115000022,2026-03-16,14,26,28,31,32,34,1
115000023,2026-03-19,9,13,14,18,31,34,1
115000024,2026-03-23,1,9,18,28,33,38,5
115000025,2026-03-26,13,14,22,28,35,38,5
115000026,2026-03-30,2,13,21,22,29,34,1
115000027,2026-04-02,5,15,17,23,25,34,6
115000028,2026-04-06,5,8,22,27,35,38,4
115000029,2026-04-09,4,9,13,27,29,34,3
115000030,2026-04-13,3,10,11,16,19,24,5
115000031,2026-04-16,4,11,16,22,30,38,6
115000032,2026-04-20,7,13,19,34,35,37,8
115000033,2026-04-23,10,14,15,16,27,33,5
115000034,2026-04-27,6,8,27,33,35,38,2
115000035,2026-04-30,1,4,13,19,27,30,8
115000036,2026-05-04,9,21,29,32,36,38,2
115000037,2026-05-07,3,14,15,24,34,38,3
115000038,2026-05-11,15,19,23,26,31,38,5
115000039,2026-05-14,6,8,9,17,21,29,8
115000040,2026-05-18,6,7,14,25,29,34,4
115000041,2026-05-21,6,14,22,28,35,38,1
115000042,2026-05-25,9,17,21,24,31,33,3
115000043,2026-05-28,1,2,24,31,34,38,3
115000044,2026-06-01,3,8,9,15,24,35,4
115000045,2026-06-04,9,12,17,20,28,35,2
115000046,2026-06-08,5,7,14,25,28,38,5
115000047,2026-06-11,7,22,23,24,26,33,8
115000048,2026-06-15,4,17,19,25,28,29,6
115000049,2026-06-18,2,8,9,15,18,23,4
115000050,2026-06-22,11,13,18,19,21,24,7
115000051,2026-06-25,6,10,20,25,28,32,1